Selector,Traffic,Region
marketplace.visualstudio.com/items?itemName=naumovs.color-highlight,98,us
marketplace.visualstudio.com/items?itemName=ms-toolsai.tensorboard,97,us
marketplace.visualstudio.com/items?itemName=ms-dotnettools.csdevkit,97,us
marketplace.visualstudio.com/items?itemName=GitHub.vscode-github-actions,71,us
marketplace.visualstudio.com/items?itemName=haknkayaa.json-visualizer,13,us
marketplace.visualstudio.com/items?itemName=mblode.pretty-formatter,45,us
marketplace.visualstudio.com/items?itemName=Blackboxapp.blackbox,191,us
marketplace.visualstudio.com/items?itemName=bierner.markdown-footnotes,11,us
marketplace.visualstudio.com/items?itemName=hoovercj.vscode-power-mode,10,us
marketplace.visualstudio.com/items?itemName=fishcodelib.DatabaseNET,19,us
marketplace.visualstudio.com/items?itemName=file-icons.file-icons,17,us
marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-wsl,225,us
marketplace.visualstudio.com/items?itemName=vs-publisher-306627.RedgateSQLSearch,13,us
marketplace.visualstudio.com/items?itemName=kisstkondoros.vscode-gutter-preview,9,us
marketplace.visualstudio.com/items?itemName=ms-ossdata.vscode-pgsql,16,us
marketplace.visualstudio.com/items?itemName=oliversturm.fix-json,20,us
marketplace.visualstudio.com/items?itemName=ms-vscode.vscode-serial-monitor,27,us
marketplace.visualstudio.com/items?itemName=HashiCorp.terraform,66,us
marketplace.visualstudio.com/items?itemName=mathematic.vscode-pdf,6,us
marketplace.visualstudio.com/items?itemName=openai.chatgpt,375,us
marketplace.visualstudio.com/items?itemName=kirozen.wordcounter,12,us
marketplace.visualstudio.com/items?itemName=maziac.binary-file-viewer,78,us
marketplace.visualstudio.com/items?itemName=Catppuccin.catppuccin-vsc,14,us
marketplace.visualstudio.com/items?itemName=yy0931.vscode-sqlite3-editor,35,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.MarkdownEditor,66,us
marketplace.visualstudio.com/items?itemName=monte-h8r.awp-helper,15,us
marketplace.visualstudio.com/items?itemName=CodeSandbox-io.codesandbox-projects,25,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.WebAccessibilityChecker,6,us
marketplace.visualstudio.com/items?itemName=mervin.markdown-formatter,10,us
marketplace.visualstudio.com/items?itemName=ZenithSoftware.zenith-vsc,8,us
marketplace.visualstudio.com/items?itemName=GitHub.github-vscode-theme,58,us
marketplace.visualstudio.com/items?itemName=vscodevim.vim,39,us
