Selector,Traffic,Region
workspace.google.com/marketplace/app/mindmap/1050079651832?hl=pt,10,br
workspace.google.com/marketplace/app/drawio/671128082532,20,br
workspace.google.com/marketplace/app/pdf_editor_open/797443692109?hl=pt,213,br
workspace.google.com/marketplace/app/video_translator_traduzir_vídeo_e_voz_on/285433175728?hl=pt_BR,27,br
workspace.google.com/marketplace/app/slidesaiio_create_slides_with_ai/904276957168,28,br
workspace.google.com/marketplace/app/lembrete_por_sms_para_google_calendar/33150033653?hl=pt_BR,20,br
workspace.google.com/marketplace/app/ai_email_generator/900926180191?hl=pt_BR,49,br
workspace.google.com/marketplace/app/doc_tools/871708524981,419,br
workspace.google.com/marketplace/app/video_translator_traduzir_vídeo_e_voz_on/285433175728?hl=pt,230,br
workspace.google.com/marketplace/app/currency_converter/962968609488?hl=pt,40,br
workspace.google.com/marketplace/app/grammar_and_spell_checker_languagetool/805250893316,48,br
workspace.google.com/marketplace/app/cloudconvert/199590644126,3,br
workspace.google.com/marketplace/app/gravador_de_tela_e_gravador_de_vídeo/659492711995?hl=pt,56,br
workspace.google.com/marketplace/app/slidesaiio_create_slides_with_ai/904276957168?hl=pt,118,br
workspace.google.com/marketplace/app/image_translator_tradutor_de_mangá_e_qua/641614143005?hl=pt_BR,212,br
workspace.google.com/marketplace/app/microsoft_teams_kokous/961264221134?hl=pt,193,br
workspace.google.com/marketplace/app/sejda_pdf_editor/8721525582?hl=pt,6,br
workspace.google.com/marketplace/app/invoiced/980661723912?hl=pt,95,br
workspace.google.com/marketplace/app/lucidchart/7081045131?hl=pt,133,br
workspace.google.com/marketplace/app/drawio/671128082532?hl=pt,35,br
workspace.google.com/marketplace/app/gravador_de_tela_e_gravador_de_vídeo/659492711995?hl=pt_BR,84,br
workspace.google.com/marketplace/app/transcripto_trascrivi_file_audio_e_video/991037987699?hl=pt,131,br
workspace.google.com/marketplace/app/cohesive_ai/591244976210?hl=pt,4,br
workspace.google.com/marketplace/app/text_to_speech_ai_voice_generator/743993646804?hl=pt,78,br
workspace.google.com/marketplace/app/pdf_to_word_converter_doc/751290108609,36,br
workspace.google.com/marketplace/app/autodesk_tinkercad/614288788007,3,br
workspace.google.com/marketplace/app/ai_diagram_maker_ai_crea_diagrammi/208081298936?hl=pt,15,br
workspace.google.com/marketplace/app/photostudio/826986567935?hl=pt,23,br
workspace.google.com/marketplace/app/postscript_viewer_and_compiler/858839298130?hl=pt,48,br
workspace.google.com/marketplace/app/document_translator_traduzir_pdf_pptslid/151510329810?hl=pt_BR,134,br
workspace.google.com/marketplace/app/ai_email_generator/900926180191?hl=pt,138,br
workspace.google.com/marketplace/app/autocrat/539341275670?hl=pt,23,br
workspace.google.com/marketplace/app/temporary_disposable_email_service/962772827669?hl=pt,40,br
workspace.google.com/marketplace/app/mindmap/1050079651832,13,br
workspace.google.com/marketplace/app/capcutweb/87571557143,58,br
workspace.google.com/marketplace/app/ai_chart_maker_ai_charts_erstellen/390602861739?hl=pt,130,br
workspace.google.com/marketplace/app/image_translator_tradutor_de_mangá_e_qua/641614143005?hl=pt,241,br
workspace.google.com/marketplace/app/shared_contacts_share_google_workspace_c/1033860418004,12,br
workspace.google.com/marketplace/app/icons_for_google_slides_google_docs/381578326502,202,br
workspace.google.com/marketplace/app/uml_diagrams/578145769424?hl=pt,56,br
workspace.google.com/marketplace/app/form_builder/133781775166,46,br
workspace.google.com/marketplace/app/document_translator_pdf_pptslides_번역/151510329810?hl=pt,10,br
workspace.google.com/marketplace/app/moviestudio_editor_de_vídeo/785803880206?hl=pt,27,br
workspace.google.com/marketplace/app/signature_in_google_forms_by_bolo_sign_p/147316795411,21,br
workspace.google.com/marketplace/app/ai_mind_maps_maker_mapa_mental_com_ai/571560817026?hl=pt,2,br
workspace.google.com/marketplace/app/chatgpt_para_google_sheets_docs_slides/451400884190?hl=pt_BR,51,br
workspace.google.com/marketplace/app/read_ai/766098389391,4,br
workspace.google.com/marketplace/app/coggle/884143833690?hl=pt,52,br
workspace.google.com/marketplace/app/excalidraw/1017678967926,55,br
workspace.google.com/marketplace/app/chatpdf_ai_para_sa_mga_dokumento/229416599137?hl=pt,159,br
workspace.google.com/marketplace/app/text_factory/215738743024,37,br
workspace.google.com/marketplace/app/zip_extractor/824911851129?hl=pt,133,br
workspace.google.com/marketplace/app/form_mule_email_merge_utility/968670674230?hl=pt,49,br
workspace.google.com/marketplace/app/plagium_verificador_de_plágio_e_detector/939761022513?hl=pt_BR,7,br
workspace.google.com/marketplace/app/rastreador_de_email_rastreamento_com_ia/754566063347?hl=pt_BR,52,br
workspace.google.com/marketplace/app/ai_form_builder_opret_formular_med_ai/678204444887?hl=pt,45,br
workspace.google.com/marketplace/app/comic_cbr_cbz_viewer/324255369131?hl=pt,215,br
workspace.google.com/marketplace/app/transcripto_transcreva_áudio_e_vídeo/991037987699?hl=pt_BR,54,br
workspace.google.com/marketplace/app/samarbejdende_tavle/657959631782?hl=pt,61,br
workspace.google.com/marketplace/app/bad_translator/306615442162?hl=pt,33,br
workspace.google.com/marketplace/app/audacity_online/112820967478?hl=pt,90,br
workspace.google.com/marketplace/app/picsart_ai_photo_editor_graphic_design/228592224036?hl=pt,3,br
workspace.google.com/marketplace/app/slidesaiio_create_slides_with_ai/904276957168?hl=pt_BR,3,br
workspace.google.com/marketplace/app/colaboratory/1014160490159?hl=pt,6,br
workspace.google.com/marketplace/app/ai_transcription_realtime_speech_to_text/501744932484,262,br
workspace.google.com/marketplace/app/gerador_de_nuvem_de_palavras/251884431535?hl=pt,14,br
workspace.google.com/marketplace/app/qr_code_generator/771094986501?hl=pt,133,br
workspace.google.com/marketplace/app/absolute_spin_dreh_das_rad/913240178330?hl=pt,41,br
workspace.google.com/marketplace/app/dalle_image_generator/21961522074,1,br
workspace.google.com/marketplace/app/gpt_diagram_maker_crie_diagramas_com_o_c/208081298936?hl=pt_BR,4,br
workspace.google.com/marketplace/app/foxy_labels_criar_e_imprimir_etiquetas/534005213458?hl=pt_BR,1,br
workspace.google.com/marketplace/app/extensis_fonts_for_google_docs_and_googl/568288816452,75,br
workspace.google.com/marketplace/app/collaborative_whiteboard/657959631782,15,br
workspace.google.com/marketplace/app/autocad_web_app/988888629532,2,br
workspace.google.com/marketplace/app/share_google_contacts_for_google_docs/401846437003,416,br
workspace.google.com/marketplace/app/sheetai_app/789651835706?hl=pt,34,br
workspace.google.com/marketplace/app/transliterate_to_adlam/301353726404?hl=pt,36,br
workspace.google.com/marketplace/app/free_keyword_app_rank_checker_and_tracke/528449240098?hl=pt,104,br
workspace.google.com/marketplace/app/ai_transcriber/453672319332?hl=pt,7,br
workspace.google.com/marketplace/app/tech_writer_gpt/42900329321?hl=pt,4,br
workspace.google.com/marketplace/app/ai_mind_maps_maker_crear_mapa_mental/571560817026?hl=pt,89,br
workspace.google.com/marketplace/app/gantt_sheet/712411571237?hl=pt,88,br
workspace.google.com/marketplace/app/form_builder_for_google_sheets/862607242665?hl=pt,88,br
workspace.google.com/marketplace/app/magicslides_ai_text_video_pdf_url_to_sli/371894645570,87,br
workspace.google.com/marketplace/app/pdf_to_docs/28755135712,87,br
workspace.google.com/marketplace/app/form_to_doc_doc_to_form/595813606108,84,br
workspace.google.com/marketplace/app/mathtype/742924286153,81,br
workspace.google.com/marketplace/app/merge_pdf_files/283426173620,80,br
workspace.google.com/marketplace/app/ai_email_generator/900926180191,79,br
workspace.google.com/marketplace/app/gimp_online/650527036983,72,br
workspace.google.com/marketplace/app/genially/634337082895?hl=pt,72,br
workspace.google.com/marketplace/app/drive_webcam_camera_for_drive/323382076820?hl=pt,69,br
workspace.google.com/marketplace/app/free_icons_for_docs_sheets_and_slides/432122626521,69,br
workspace.google.com/marketplace/app/image_translator_translate_image_by_ai/641614143005,69,br
workspace.google.com/marketplace/app/dochub_pdf_sign_and_edit/1179802238,66,br
workspace.google.com/marketplace/app/formula_bot/1074378600312?hl=pt,65,br
workspace.google.com/marketplace/app/gráficos_animados_criador_de_gráficos/50018951703?hl=pt_BR,65,br
workspace.google.com/marketplace/app/cacoo_diagramming_realtime_collaboration/136288733433?hl=pt,59,br
workspace.google.com/marketplace/app/ai_transcription_realtime_speech_to_text/501744932484?hl=pt,58,br
workspace.google.com/marketplace/app/text_to_speech_ai_voice_generator/743993646804,58,br
workspace.google.com/marketplace/app/icons_by_noun_project/863243688714,57,br
workspace.google.com/marketplace/app/cohesive_ai/591244976210,57,br
workspace.google.com/marketplace/app/slides_translator_traduzir_slides_inteir/552662411825?hl=pt_BR,56,br
workspace.google.com/marketplace/app/gemini_ai_for_sheets/736558611562?hl=pt_BR,55,br
workspace.google.com/marketplace/app/conversor_de_moeda/562317989852?hl=pt_BR,55,br
workspace.google.com/marketplace/app/temporary_disposable_email_service/962772827669,55,br
workspace.google.com/marketplace/app/plus_ai_for_google_slides_and_docs/214277172452,54,br
workspace.google.com/marketplace/app/zip_extractor_unzip_files_online/199113505032?hl=pt,54,br
workspace.google.com/marketplace/app/typingcom/1018631896966?hl=pt,53,br
workspace.google.com/marketplace/app/save_as_doc/414645485467,52,br
workspace.google.com/marketplace/app/ai_image_generator_text_zu_bild_online/457606665049?hl=pt,51,br
